id_analyse,nom_analyse,nom_prenom,nageur_sexe,competition_nom,mois_annee,distance_course,style_nage,round,temps_final,temps_reaction,temps_vol,temps_depart,DISTANCE_FIN_COULEE,LONGUEUR,TEMPS_FIN_COULEE,TEMPS_DE_PASSAGE
10583,200 Brasse Finale CF 2018 SAINT RAPHAEL,SAINTON Marcus,m,CF 2018 SAINT RAPHAEL,2018-05,200,Brasse,Finale,137.4,0.68,1.0,1.6800000000000002,11.14;57.96;107.69;157.04,0;50;100;150,5.45;36.08;71.25;106.25,31.17;66.54;101.94;137.4
763080,200 Papillon Series GOLDEN FFN TOUR AMIENS,VAULON Jeremy,m,GOLDEN FFN TOUR AMIENS,2016-02,200,Papillon,Series,137.41,0.73,1.09,1.82,9.07;55.55;105.81;156.79,0;50;100;150,4.28;32.26;66.98;104.78,28.88;63.39;100.28;137.41
762186,200 4 Nages Series CF 2016 MONTPELLIER,LESAFFRE Fantine,f,CF 2016 MONTPELLIER,2016-03,200,4 Nages,Series,137.42,0.78,1.1,1.8800000000000001,10.39;56.70;108.70;156.69,0;50;100;150,5.21;34.09;70.94;108.4,29.52;64.91;103.87;137.42
10516129,200 Brasse Series CF 2021 MONTPELLIER,LAIN�E Melaine,m,CF 2021 MONTPELLIER,2021-12,200,Brasse,Series,137.44,0.62,0.93,1.55,16.39;61.74;111.30;160.44,0;50;100;150,7.81;39.41;74.4;108.74,32.23;67.46;102.43;137.44
10513873,200 Papillon Finale CF 2018 SAINT RAPHAEL,CORAPI Adele,f,CF 2018 SAINT RAPHAEL,2018-05,200,Papillon,Finale,137.45,0.7,0.95,1.65,10.37;56.68;106.39;155.82,0;50;100;150,5.22;34.44;68.8;104.38,30.21;64.52;100.51;137.45
10576,200 Brasse Series CF 2018 SAINT RAPHAEL,PALFRAY Leo,m,CF 2018 SAINT RAPHAEL,2018-05,200,Brasse,Series,137.45,0.59,1.02,1.6099999999999999,13.21;59.28;108.62;158.54,0;50;100;150,6.78;37.13;71.32;106.54,31.35;65.8;101.16;137.45
10513861,200 Papillon Series CF 2018 SAINT RAPHAEL,MARCHAND Juliette,f,CF 2018 SAINT RAPHAEL,2018-05,200,Papillon,Series,137.46,0.75,1.06,1.81,12.05;56.79;106.55;155.96,0;50;100;150,6.13;35.57;70.16;105.59,30.97;66.27;101.4;137.46
10516541,200 Papillon Series CF 2021 CHARTRES,AVETAND Tabatha,f,CF 2021 CHARTRES,2021-06,200,Papillon,Series,137.46,0.73,0.99,1.72,11.21;55.91;106.19;156.18,0;50;100;150,5.33;34.03;68.98;104.98,29.98;64.89;100.59;137.46
83153,200 Dos Finale CFJ 2023 CHARTRES,MAILHARROU Carla,f,CFJ 2023 CHARTRES,2023-04,200,Dos,Finale,137.46,0.71,0.81,1.52,11.69;59.44;108.58;157.94,0;50;100;150,6.61;37.09;71.33;106.2,32.02;66.64;102.02;137.46
1054201,200 Dos Series GOLDEN FFN TOUR 2017 NICE,CINI Mathilde,f,GOLDEN FFN TOUR 2017 NICE,2017-02,200,Dos,Series,137.49,0.63,0.8,1.4300000000000002,15.00;58.93;108.50;157.22,0;50;100;150,7.65;36.9;71.39;106.23,32.24;66.79;102.53;137.49
10518307,200 Dos Series CF 2019 RENNES,TOUILI Lila,f,CF 2019 RENNES,2019-04,200,Dos,Series,137.5,0.6,0.76,1.3599999999999999,16.10;58.64;106.87;155.55,0;50;100;150,8.52;35.4;68.81;104.12,31.01;65.23;101.43;137.5
10514338,200 Dos Finale CF 2018 SAINT RAPHAEL,RESSENCOURT Lilou,f,CF 2018 SAINT RAPHAEL,2018-05,200,Dos,Finale,137.52,0.71,0.76,1.47,8.64;56.98;105.63;155.72,0;50;100;150,4.95;35.62;70;105.39,32.2;67.11;102.51;137.52
10515644,200 4 Nages Series CF 2022 LIMOGES,TISSANDIE Camille,f,CF 2022 LIMOGES,2022-04,200,4 Nages,Series,137.53,0.7,0.91,1.6099999999999999,12.77;57.27;107.65;155.11,0;50;100;150,6.25;33.95;69.5;108.49,29.34;64.43;105.24;137.53
10516194,200 Dos Series CF 2021 MONTPELLIER,GUITON Lou Anne,f,CF 2021 MONTPELLIER,2021-12,200,Dos,Series,137.57,0.63,0.72,1.35,10.38;57.74;107.14;156.20,0;50;100;150,5.96;36.52;70.88;105.46,32.53;67.06;102.24;137.57
10521299,200 4 Nages Finale JM 2022 ORAN,TISSANDIE Camille,f,JM 2022 ORAN,2022-07,200,4 Nages,Finale,137.57,0.68,0.92,1.6,11.55;57.05;107.52;155.99,0;50;100;150,5.7;33.82;70.03;109.38,29.24;64.88;105.21;137.57
762879,200 Dos Series CF 2016 MONTPELLIER,MAHIEU Pauline,f,CF 2016 MONTPELLIER,2016-03,200,Dos,Series,137.57,0.7,0.77,1.47,14.20;58.04;106.78;156.49,0;50;100;150,7.66;35.91;70.04;106.06,31.77;66.63;102.77;137.57
10520066,200 Dos Finale MN 2022 BARCELONE,PODEVIN Anais,f,MN 2022 BARCELONE,2022-05,200,Dos,Finale,137.58,0.68,0.79,1.4700000000000002,11.78;57.74;107.04;156.74,0;50;100;150,6.41;36.1;71.24;106.82,32.09;67.56;103.25;137.58
10516555,200 Brasse Finale CF 2021 CHARTRES,FARGEOT Thomas,m,CF 2021 CHARTRES,2021-06,200,Brasse,Finale,137.6,0.66,1.04,1.7000000000000002,11.69;59.54;108.24;158.59,0;50;100;150,6.21;38.03;72.6;107.11,32.03;67.71;101.9;137.6
10520661,200 Dos Series CF 2020 SAINT-RAPHAEL,BOURSE Claire,f,CF 2020 SAINT-RAPHAEL,2020-12,200,Dos,Series,137.6,0.59,0.79,1.38,12.06;59.26;107.66;157.48,0;50;100;150,6.64;37.06;70.78;106.33,32.16;66.72;102.35;137.6
763271,200 Dos Series Golden FFN Tour Marseille,DURIEUX Damien,m,Golden FFN Tour Marseille,2016-03,200,Dos,Series,137.6,0.7,0.77,1.47,13.89;58.38;107.22;156.12,0;50;100;150,7.76;36.81;70.55;105.06,32.8;66.65;102.06;137.6
10515922,200 4 Nages Series CF 2021 MONTPELLIER,COUSSON Bertille,f,CF 2021 MONTPELLIER,2021-12,200,4 Nages,Series,137.61,0.68,0.85,1.53,10.55;58.06;108.17;155.16,0;50;100;150,5.02;33.86;68.23;107.37,28.84;62.56;104.17;137.61
10520675,200 Dos Finale CF 2020 SAINT-RAPHAEL,BOURSE Claire,f,CF 2020 SAINT-RAPHAEL,2020-12,200,Dos,Finale,137.61,0.56,0.75,1.31,12.17;59.43;107.78;157.65,0;50;100;150,6.58;36.8;70;105.35,31.71;65.9;101.37;137.61
10521532,200 Brasse Series GFT 2023 MARSEILLE,LE PAPE Thomas,m,GFT 2023 MARSEILLE,2023-03,200,Brasse,Series,137.63,0.6,0.93,1.53,14.09;60.27;110.08;159.90,0;50;100;150,6.53;37.76;72.7;107.86,31.42;66.33;101.82;137.63
10515631,200 Brasse Series CF 2022 LIMOGES,BOUCHER Millian,m,CF 2022 LIMOGES,2022-04,200,Brasse,Series,137.64,0.65,0.96,1.6099999999999999,14.39;61.17;110.62;159.89,0;50;100;150,6.66;37.83;72.62;107.34,31.16;66.08;101.13;137.64
1052271,200 Brasse Finale FOJE 2015 TBILISSI,LESPARRE Tanguy,m,FOJE 2015 TBILISSI,2015-07,200,Brasse,Finale,137.65,0.7,1.02,1.72,12.02;59.57;109.17;158.54,0;50;100;150,6.14;37.14;72.38;107.58,31.08;66.32;102.05;137.65
1055374,200 4 Nages Series CF 2018 SAINT RAPHAEL,DAUBA Camille,f,CF 2018 SAINT RAPHAEL,2018-05,200,4 Nages,Series,137.65,0.71,1.0,1.71,11.18;57.94;108.32;156.94,0;50;100;150,5.47;34.02;69.59;108.13,28.98;64.15;103.92;137.65
10520512,200 Papillon Finale CF 2020 SAINT-RAPHAEL,BOUTEILLY Alexia,f,CF 2020 SAINT-RAPHAEL,2020-12,200,Papillon,Finale,137.68,0.64,0.97,1.6099999999999999,11.24;57.52;107.72;157.27,0;50;100;150,5.82;35.97;71.46;106.83,31.36;66.45;102.04;137.68
10518272,200 Papillon Series CF 2019 RENNES,AUBRY Alice,f,CF 2019 RENNES,2019-04,200,Papillon,Series,137.7,0.74,0.94,1.68,11.91;59.46;109.29;159.23,0;50;100;150,6.01;36.83;72.14;108.31,30.89;65.79;102.42;137.7
10513862,200 Papillon Series CF 2018 SAINT RAPHAEL,CORAPI Adele,f,CF 2018 SAINT RAPHAEL,2018-05,200,Papillon,Series,137.71,0.7,0.94,1.64,10.98;56.50;106.39;155.85,0;50;100;150,5.47;34.84;69.73;104.85,30.63;65.53;101.02;137.71
10520723,200 4 Nages Series CF 2020 SAINT-RAPHAEL,TISSANDIE Camille,f,CF 2020 SAINT-RAPHAEL,2020-12,200,4 Nages,Series,137.74,0.34,0.6,0.94,11.87;57.07;106.83;155.78,0;50;100;150,5.49;33.2;69.65;108.75,29.03;65.25;105.65;137.74
10518684,200 Papillon Finale GFT 2021 MARSEILLE,COTTIER Camille,f,GFT 2021 MARSEILLE,2021-03,200,Papillon,Finale,137.75,0.6,0.84,1.44,9.84;56.57;105.23;155.10,0;50;100;150,5;34.46;68.48;104.7,30.46;64.91;101.45;137.75
10516195,200 Dos Series CF 2021 MONTPELLIER,DOMINGEON Manon,f,CF 2021 MONTPELLIER,2021-12,200,Dos,Series,137.76,0.62,0.81,1.4300000000000002,10.41;58.45;107.52;157.23,0;50;100;150,5.97;37.15;71.37;106.49,32.62;67.3;102.71;137.76
